province,Gasoline,Diesel,HEV,Biodiesel B20,Renewable Diesel R99,Battery electric,Hydrogen Fuel Cell,grid_intensity,hydrogen_intensity,taxes_perc
Alberta,1.34,1.41,1.41,1.4805,2.256,0.13,14.7,510,5000,5
British Columbia,1.63,1.81,1.81,1.9005,2.896,0.1,14.7,14,500,12
Manitoba,1.32,1.58,1.58,1.659,2.528,0.07,14.7,1.9,500,12
New Brunswick,1.62,1.5,1.5,1.575,2.4,0.1,14.7,290,8000,15
Newfoundland and Labrador,1.7,1.5,1.5,1.575,2.4,0.1,14.7,16,8000,15
Nova Scotia,1.64,1.5,1.5,1.575,2.4,0.1,14.7,660,8000,15
Ontario,1.46,1.48,1.48,1.554,2.368,0.1,14.7,28,8000,13
Prince Edward Island,1.64,1.5,1.5,1.575,2.4,0.1,14.7,3,8000,15
Quebec,1.59,1.52,1.52,1.596,2.432,0.06,14.7,1.3,500,14.975
Saskatchewan,1.38,1.5,1.5,1.575,2.4,0.14,14.7,670,5000,11
Northwest Territories,1.58,1.5,1.5,1.575,2.4,0.3,14.7,170,8000,5
Nunavut,1.58,1.5,1.5,1.575,2.4,0.29,14.7,800,8000,5
Yukon,1.58,1.5,1.5,1.575,2.4,0.11,14.7,70,8000,5
